ID,item_nr,attitude,importance,side,plausibility,university,university_short,start_date,end_date,progress,duration,language,consent,student,tuition_fee,study_continue,attention1,attention2,gender,age,comments,study,study_year,study_plan,tuition_fee2,missing_attitude,track,native_language,item,item_short
bu-1,1,6,4,in favor,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the length of academic holidays,reduce holidays length
bu-1,2,5,5,indifferent,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the number of course hours required for graduation,increase course hours
bu-1,3,1,9,against,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should raise the tuition fee for the upcoming academic year,raise tuition fee
bu-1,4,1,9,against,unlikely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule classes starting at 6.30am,classes at 6.30am
bu-1,5,5,5,indifferent,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should introduce mandatory final exams that cover all knowledge required for the academic degree,introduce final exam
bu-1,6,1,4,against,unlikely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should make attendance mandatory for seminars and lectures,mandatory attendance
bu-1,7,1,7,against,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish resit exams,abolish resit exams
bu-1,8,1,8,against,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the difficulty of exams and coursework,increase difficulty
bu-1,9,1,9,against,unlikely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,"<The university> should banish sales of sodas and fast-food, including vending machines, on the campus",banish soda and fast-food
bu-1,10,1,9,against,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the voice given to students in its decision making,reduce student voice
bu-1,11,1,8,against,unlikely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should adopt school uniforms,adopt school uniforms
bu-1,12,1,8,against,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should only fund scholarly pursuits and defund other student union activities,defund student activities
bu-1,13,5,5,indifferent,unlikely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish student political expression on the campus,abolish political expression
bu-1,14,1,8,against,unlikely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should also schedule classes on Saturday,classes on Saturday
bu-1,15,2,1,against,likely,Baskent University,bu,2020-05-21T21:08:45Z,2020-05-21T21:15:05Z,100,380,EN,1,yes,9,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule more classes in the evening (after 6 PM),classes in the evening
bu-2,1,7,5,in favor,likely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the length of academic holidays,reduce holidays length
bu-2,2,3,4,indifferent,likely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the number of course hours required for graduation,increase course hours
bu-2,3,1,8,against,likely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should raise the tuition fee for the upcoming academic year,raise tuition fee
bu-2,4,2,5,against,unlikely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule classes starting at 6.30am,classes at 6.30am
bu-2,5,4,5,indifferent,unlikely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should introduce mandatory final exams that cover all knowledge required for the academic degree,introduce final exam
bu-2,6,4,4,indifferent,unlikely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should make attendance mandatory for seminars and lectures,mandatory attendance
bu-2,7,NA,NA,NA,NA,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish resit exams,abolish resit exams
bu-2,8,4,6,indifferent,likely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the difficulty of exams and coursework,increase difficulty
bu-2,9,7,4,in favor,likely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,"<The university> should banish sales of sodas and fast-food, including vending machines, on the campus",banish soda and fast-food
bu-2,10,1,9,against,unlikely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the voice given to students in its decision making,reduce student voice
bu-2,11,1,2,against,unlikely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should adopt school uniforms,adopt school uniforms
bu-2,12,2,6,against,unlikely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should only fund scholarly pursuits and defund other student union activities,defund student activities
bu-2,13,3,3,indifferent,unlikely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish student political expression on the campus,abolish political expression
bu-2,14,3,6,indifferent,likely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should also schedule classes on Saturday,classes on Saturday
bu-2,15,3,4,indifferent,unlikely,Baskent University,bu,2020-05-21T21:09:50Z,2020-05-21T21:16:30Z,100,399,EN,1,yes,7,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule more classes in the evening (after 6 PM),classes in the evening
bu-3,1,1,9,against,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the length of academic holidays,reduce holidays length
bu-3,2,9,7,in favor,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the number of course hours required for graduation,increase course hours
bu-3,3,1,9,against,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should raise the tuition fee for the upcoming academic year,raise tuition fee
bu-3,4,1,9,against,unlikely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule classes starting at 6.30am,classes at 6.30am
bu-3,5,9,5,in favor,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should introduce mandatory final exams that cover all knowledge required for the academic degree,introduce final exam
bu-3,6,9,9,in favor,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should make attendance mandatory for seminars and lectures,mandatory attendance
bu-3,7,2,4,indifferent,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish resit exams,abolish resit exams
bu-3,8,1,9,against,unlikely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the difficulty of exams and coursework,increase difficulty
bu-3,9,9,7,in favor,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,"<The university> should banish sales of sodas and fast-food, including vending machines, on the campus",banish soda and fast-food
bu-3,10,1,9,against,unlikely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the voice given to students in its decision making,reduce student voice
bu-3,11,7,5,in favor,unlikely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should adopt school uniforms,adopt school uniforms
bu-3,12,1,7,against,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should only fund scholarly pursuits and defund other student union activities,defund student activities
bu-3,13,9,6,in favor,unlikely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish student political expression on the campus,abolish political expression
bu-3,14,1,9,against,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should also schedule classes on Saturday,classes on Saturday
bu-3,15,7,5,in favor,likely,Baskent University,bu,2020-05-21T23:14:59Z,2020-05-21T23:28:14Z,100,795,EN,1,yes,9,yes,mostly,mostly not,female,18,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule more classes in the evening (after 6 PM),classes in the evening
bu-4,1,1,9,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the length of academic holidays,reduce holidays length
bu-4,2,1,9,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the number of course hours required for graduation,increase course hours
bu-4,3,3,7,indifferent,likely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should raise the tuition fee for the upcoming academic year,raise tuition fee
bu-4,4,1,9,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule classes starting at 6.30am,classes at 6.30am
